职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
8000-15000元/月,北京-朝阳区,全职,1-3年,本科,1人,销售数据分析,1000-9999人,民营,互联网/电子商务
10001-15000元/月,北京-海淀区,全职,1-3年,大专,5人,证券分析/金融研究,1000-9999人,合资,基金/证券/期货/投资
6000-10000元/月,北京-宣武区,全职,不限,不限,1人,财务分析员,1000-9999人,合资,基金/证券/期货/投资
6000-12000元/月,北京-东城区,全职,不限,不限,1人,财务分析经理/主管,1000-9999人,合资,基金/证券/期货/投资
7000-14000元/月,北京,全职,1-3年,大专,30人,其他,10000人以上,上市公司,互联网/电子商务
6000-10000元/月,北京-西城区,全职,不限,不限,1人,财务分析员,1000-9999人,合资,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,大专,5人,总裁助理/总经理助理,500-999人,股份制企业,基金/证券/期货/投资
6000-10000元/月,北京-西城区,全职,不限,大专,5人,会计/会计师,1000-9999人,合资,基金/证券/期货/投资
8000-15000元/月,北京-东城区,全职,1年以下,大专,6人,财务分析员,1000-9999人,合资,基金/证券/期货/投资
6000-10000元/月,北京-石景山区,全职,不限,不限,6人,会计/会计师,1000-9999人,合资,基金/证券/期货/投资
面议,北京-朝阳区,全职,不限,不限,1人,其他,10000人以上,合资,互联网/电子商务
6000-10000元/月,北京-宣武区,全职,不限,大专,1人,会计/会计师,1000-9999人,合资,基金/证券/期货/投资
